,NR.AhR,smiles
2268,0.0,O=C1C=CC(=O)N1c1ccccc1
2269,0.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
2270,0.0,CCCCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
2272,0.0,CC[C@H](C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@@H]([NH2+]C)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2.O=C([O-])c1ccccc1
2273,0.0,O=C1OC2(c3ccccc31)c1cc(Br)c(O)c(Br)c1Oc1c2cc(Br)c(O)c1Br
2274,0.0,Cc1cc(O)c(C(C)(C)C)cc1C(C)(C)C
2276,0.0,CCc1cc(Cc2cc(CC)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
2279,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
2280,0.0,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1
2281,1.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2
2282,1.0,CC1(C)CNC(=NN=C(/C=C/c2ccc(C(F)(F)F)cc2)/C=C/c2ccc(C(F)(F)F)cc2)NC1
2284,0.0,CNCCCC12CCC(c3ccccc31)c1ccccc12.Cl
2286,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
2287,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
2289,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
2294,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
2297,0.0,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1Cl
2298,0.0,C/C=C/C(=O)Oc1c(CCCCCC(C)C)cc([N+](=O)[O-])cc1[N+](=O)[O-]
2300,0.0,CCCCCCCCCCCCN(CCO)CCO
2301,0.0,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
2304,1.0,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
2305,0.0,CC[C@H]1O[C@]2(CC[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
2308,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
2312,0.0,COc1cc(-c2nc(NC(=O)c3cc4cc(C)cc(C)c4n3CC(=O)O)sc2CCC2CCCCC2)c(OC)cc1Cl.O=C(O)C(F)(F)F
2313,0.0,CCCCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2315,0.0,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[Si](OC)(OC)OC.[Cl-]
2319,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
2321,0.0,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
2325,0.0,COc1cccc2c1[C@@H]1CN(CCCCn3c(=O)[nH]c4c(sc5ncc(-c6ccccc6)nc54)c3=O)C[C@@H]1CO2.Cl
2329,0.0,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
2330,1.0,Oc1cc2ccccc2c2ccccc12
2331,0.0,CCCCCCCCCCCC[N+](C)(C)CCOc1ccccc1.[Br-]
2332,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
2333,0.0,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-]
2334,0.0,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
2335,1.0,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
2336,0.0,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
2339,1.0,CCN(CC)CCOc1ccc(-c2nc3cc(Cl)ccc3s2)cc1.Cl
2344,0.0,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
2345,1.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
2347,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
2348,0.0,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12.[Na+].[Na+]
2349,0.0,C=C[C@](C)(O)CC[C@@H]1[C@@]2(C)CCCC(C)(C)[C@@H]2CC[C@@]1(C)O
2351,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
2352,0.0,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1
2357,0.0,CCCCCCCCCCOCC(O)CN.Cl
2358,0.0,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1
2360,0.0,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
2361,0.0,Cc1cc(F)ccc1-c1cc(N2CC[C@@H](O)[C@H]2CO)ncc1N(C)C(=O)C(C)(C)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
2363,1.0,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
2364,0.0,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1
2365,0.0,O=C1C=CC(=O)N1c1ccc(Cc2ccc(N3C(=O)C=CC3=O)cc2)cc1
2366,0.0,CCCCCCCCCCCC[N+](C)(C)C.[Br-]
2367,0.0,CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-]
2368,0.0,CCCCCCCCCCCCCCCCCCNC(=O)OC1CCN(C(=O)OC[C@H](COC(=O)N(Cc2cccc[n+]2CC)C(=O)c2ccccc2OC)OC)CC1.[Cl-]
2372,0.0,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1
2373,1.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
2376,0.0,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
2378,0.0,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
2380,0.0,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
2381,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
2383,1.0,N#Cc1sc2c(=O)c3ccccc3c(=O)c=2sc1C#N
2385,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
2388,1.0,O=C(N/N=C/c1ccccc1O)c1ccncc1
2389,0.0,Cc1oc(-c2ccccc2)nc1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1
2391,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
2392,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
2393,0.0,COc1cc(C=C2CCCC(=Cc3ccc(O)c(OC)c3)C2=O)ccc1O
2394,1.0,Oc1cccc(-c2c3nc(c(-c4cccc(O)c4)c4ccc([nH]4)c(-c4cccc(O)c4)c4nc(c(-c5cccc(O)c5)c5ccc2[nH]5)CC4)C=C3)c1
2395,1.0,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]
2401,1.0,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
2402,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
2403,0.0,CCC(C)(NC(=O)c1cc(Cl)c(C)c(Cl)c1)C(=O)CCl
2406,0.0,O=[N+]([O-])c1cc(I)c(O)c(I)c1
2407,1.0,Nc1ccc2c3c(cccc13)-c1ccccc1-2
2412,0.0,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
2413,1.0,CCCCCCCCCCCCN1CCCC1=O
2414,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2415,0.0,CCCCCCCCCCCCCC[n+]1ccccc1.[Br-]
2418,0.0,CCCCCCCCCCCCn1cc[n+](C)c1.[I-]
2423,0.0,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
2424,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
2427,0.0,C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O
2430,0.0,N#CC(C#N)=NNc1cccc(Cl)c1
2432,0.0,CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
2436,0.0,CCC/C=C/C=C/C(=O)O[C@H]1/C(=C/C(=O)OC)C[C@H]2C[C@H]([C@@H](C)O)OC(=O)C[C@H](O)C[C@@H]3C[C@H](OC(C)=O)C(C)(C)[C@](O)(C[C@@H]4C/C(=C/C(=O)OC)C[C@H](/C=C/C(C)(C)[C@]1(O)O2)O4)O3
2440,0.0,COC(=O)N(C(=O)N1CO[C@@]2(C(=O)OC)Cc3cc(Cl)ccc3C2=N1)c1ccc(OC(F)(F)F)cc1
2441,0.0,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
2442,0.0,CCCCCCCCCCCCCC[n+]1ccc(C)cc1.[Cl-]
2444,0.0,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.Cl
2445,0.0,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1.CS(=O)(=O)O
2449,1.0,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21
2450,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
2452,1.0,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)[O-])CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1.[Na+]
2453,0.0,CN(C[C@@H](CC[N+]12CCC(C3CCCCC3)(CC1)CC2)c1ccc(Cl)c(Cl)c1)C(=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CS(=O)(=O)[O-]
2454,0.0,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
2456,0.0,Oc1ccc([Hg]Cl)cc1
2457,0.0,CC(CN1c2ccccc2Sc2ccccc21)N(C)C
2458,0.0,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O
2459,0.0,CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)n1ccnc1
2460,0.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
2461,0.0,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1.Cc1ccc(S(=O)(=O)O)cc1
2464,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2466,0.0,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
2467,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-]
2468,0.0,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-]
2471,0.0,CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](C/C=C(\C)C[C@@H](C)/C=C/C=C4\CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C
2472,0.0,Cc1cc(O)c2c(c1)O[C@@]1(C)CC[C@H]3C(C)(C)CCCC34CO[C@@H]2[C@H]41
2473,0.0,Cc1ccc(S(=O)(=O)N[C@@H](CCCCN)C(=O)CCl)cc1.Cl
2474,0.0,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
2475,0.0,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
2476,0.0,Clc1cc(Cl)c(OCC#CI)cc1Cl
2477,0.0,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
2479,0.0,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
2480,0.0,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
2481,0.0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
2483,0.0,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
2484,1.0,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccs1
2485,0.0,CCCCCCCCn1sccc1=O
2486,0.0,CCCCCCCCCCCCN1CCCCCC1=O
2487,0.0,CC(C)(C)c1cc(/C=C2\SC(=N)NC2=O)cc(C(C)(C)C)c1O.CS(=O)(=O)O
2488,1.0,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
2489,0.0,Oc1ccc(C2(c3ccc(O)cc3)c3ccccc3-c3ccccc32)cc1
2490,0.0,CCCCCCCCCCCCCCN(CCO)CCO
2491,0.0,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
2493,1.0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
2494,1.0,CC1(S(=O)(=O)[O-])CC(=O)c2ccccc2C1=O.[Na+]
2496,0.0,C/C(=C\c1ccccc1)[N+](=O)[O-]
2497,0.0,CCC(C)[C@H]1O[C@]2(C=C[C@@H]1C)C[C@@H]1C[C@@H](C/C=C(\C)[C@@H](O[C@H]3C[C@H](OC)[C@@H](O[C@H]4C[C@H](OC)[C@H](NC(C)=O)[C@H](C)O4)[C@H](C)O3)[C@@H](C)/C=C/C=C3\CO[C@@H]4[C@H](O)C(C)=C[C@@H](C(=O)O1)[C@]34O)O2
2499,1.0,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C
2500,0.0,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1.Cl
2501,1.0,Cl.Nc1c2ccccc2nc2ccccc12.O
2502,0.0,CCOC(=O)c1nc(C(Cl)(Cl)Cl)n(-c2ccc(Cl)cc2Cl)n1
2503,0.0,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl
2504,0.0,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl
2505,0.0,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
2506,0.0,CO[C@H]1C[C@H](O[C@H]2[C@H](C)O[C@@H](O[C@@H]3/C(C)=C/C[C@@H]4C[C@@H](C[C@]5(C=C[C@H](C)[C@@H](C6CCCCC6)O5)O4)OC(=O)[C@@H]4C=C(C)[C@@H](O)[C@H]5OC/C(=C\C=C\[C@@H]3C)[C@]54O)C[C@@H]2OC)O[C@@H](C)[C@@H]1O
2507,1.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
2508,1.0,Nc1ccc(N)c2ccccc12
2509,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
2510,0.0,CC(=O)OC(OC(C)=O)c1ccc([N+](=O)[O-])o1
2511,0.0,CN(C)CCOc1ccc(/C(=C(/CCCl)c2ccccc2)c2ccccc2)cc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
2513,0.0,CC(=O)O[C@H]1C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](OC4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
2514,1.0,CC1=CC(=O)c2ccccc2C1=O
2515,0.0,CC(=O)NC1(c2cccc(F)c2)CCN(CC[C@@]2(c3ccc(Cl)c(Cl)c3)CN(c3ccccc3)C(=O)CO2)CC1.O=C(O)CCC(=O)O
2517,0.0,Oc1ccc(Cl)cc1Cc1ccccc1
2518,0.0,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
2521,0.0,NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[n-]1.O.[K+]
2522,0.0,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+]
2523,1.0,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
2526,0.0,CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1
2527,0.0,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
2528,1.0,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
2529,0.0,CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C2OC2C[C@@H](C)OC(=O)C[C@H]1OC(C)=O
2532,0.0,COc1ccc2cc(S(=O)(=O)N[C@H](CC(=O)N[C@H](Cc3ccc(CN4[C@H](C)CCC[C@@H]4C)cc3)C(=O)N(C)C(C)C)c3ccc4c(c3)OCO4)ccc2c1.Cl
2535,1.0,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
2538,1.0,COC(=O)Nc1nc2cc(C(=O)c3cccs3)ccc2[nH]1
2539,1.0,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21
2540,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
2541,0.0,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
2542,0.0,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
2543,0.0,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2544,0.0,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O
2545,0.0,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
2546,0.0,O=C1OC2(c3ccc([O-])cc3Oc3cc([O-])ccc32)c2ccccc21.[Na+].[Na+]
2547,0.0,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
2548,0.0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
2549,0.0,CC(C)(C)c1ccc(O)c(C(C)(C)C)c1
2553,0.0,CCCCCCCCCCCCN.Cl
2554,0.0,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
2555,0.0,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
2557,0.0,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
2561,0.0,O=C(O)CN(CC(=O)O)CC1=CC2C(=CC1=O)Oc1cc(O)c(CN(CC(=O)O)CC(=O)O)cc1C21OC(=O)c2ccccc21
2562,1.0,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
2563,0.0,CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1
2566,0.0,CCC(C)(C)c1ccc(O)c(C(C)(C)CC)c1
2567,0.0,CCCCCCCC/C=C\CCCCCCCCOCCO
2568,0.0,CCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
2573,1.0,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl
2575,0.0,O=C(CCCCCCCCc1cccnc1)N1CCC(C=C(c2ccccc2)c2ccccc2)CC1
2576,0.0,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
2577,0.0,O=C1OC2(c3ccc(O)cc3Oc3cc(O)ccc32)c2ccccc21
2579,0.0,CC(C)(C)c1cc([N+](=O)[O-])cc(C(C)(C)C)c1O
2581,0.0,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
2582,0.0,Cl[Au](Cl)Cl
2585,0.0,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+]
2587,0.0,C[C@]12Cc3nonc3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
2589,0.0,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
2591,0.0,N#Cc1cc(I)c(O)c(I)c1
2592,0.0,O=C(CCl)c1ccccc1
2593,0.0,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)CC2S(=O)(=O)C1(C)C
2594,0.0,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
2596,0.0,N#Cc1cc(Br)c(O)c(Br)c1
2598,0.0,CN1CCc2cc3c(cc2C1O)OCO3.Cl
